scenario_id,scenario_name,category_full,category_es,parameter,central,plausible_low,plausible_high,evidence_basis,signal,translation_rule,decision_author,decision_date,parameter_status
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Electoral process and pluralism,Proceso electoral y pluralismo,shock_2026,0.12,0.06,0.18,E01;E02;E03,positive,"Implementación y legitimación electoral elevan moderadamente el componente; rango acotado por persistencia de polarización.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Electoral process and pluralism,Proceso electoral y pluralismo,annual_structural_rate,0.04,0.01,0.07,E01;E02,positive,"Cumplimiento gradual de recomendaciones; efecto anual pequeño y decreciente.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Functioning of government,Funcionamiento del gobierno,shock_2026,0.12,0.04,0.20,E01;E05;E08,positive,"Acuerdos de gobernabilidad producen mejora inicial limitada por fragmentación institucional.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Functioning of government,Funcionamiento del gobierno,annual_structural_rate,0.10,0.04,0.16,E01;E05;E08,positive,"Coalición estable y capacidad de implementación sostienen una mejora gradual.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Political participation,Participación política,shock_2026,0.08,0.02,0.14,E01;E07,positive,"Legitimidad y acceso a información inducen una mejora inicial moderada.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Political participation,Participación política,annual_structural_rate,0.06,0.02,0.10,E01;E07,positive,"Mecanismos de participación se consolidan lentamente.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Political culture,Cultura política,shock_2026,0.15,0.05,0.25,E06;E08;E09,positive,"Reducción de confrontación y aceptación de reglas permiten una recuperación parcial.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Political culture,Cultura política,annual_structural_rate,0.10,0.04,0.16,E06;E08,positive,"Recuperación gradual desde una base baja; no supone normalización inmediata.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Civil liberties,Libertades civiles,shock_2026,0.05,-0.02,0.12,E01;E05,weak_positive,"Controles judiciales compensan parcialmente la presión securitaria.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
recuperacion_institucional,Recuperación institucional y gobernabilidad negociada,Civil liberties,Libertades civiles,annual_structural_rate,0.05,0.01,0.09,E01;E05,positive,"Institucionalización de salvaguardas genera mejora gradual.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Electoral process and pluralism,Proceso electoral y pluralismo,shock_2026,0.08,0.00,0.14,E01;E02;E03,weak_positive,"Aceptación formal del resultado mejora el componente sin reforma estructural.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Electoral process and pluralism,Proceso electoral y pluralismo,annual_structural_rate,0.00,-0.02,0.02,E01;E02,neutral,"Competencia preservada con estabilidad procedimental y bajo cambio anual.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Functioning of government,Funcionamiento del gobierno,shock_2026,-0.06,-0.15,0.03,E04;E05;E08,weak_negative,"Fragmentación y margen electoral estrecho limitan coordinación inicial.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Functioning of government,Funcionamiento del gobierno,annual_structural_rate,0.01,-0.03,0.05,E05;E08,near_neutral,"Ajustes parciales compensan sin resolver debilidades de implementación.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Political participation,Participación política,shock_2026,0.06,-0.01,0.12,E03;E07,weak_positive,"Movilización electoral preserva participación con efecto inicial acotado.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Political participation,Participación política,annual_structural_rate,0.02,-0.02,0.06,E07,near_neutral,"Persistencia participativa sin reformas sostenidas.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Political culture,Cultura política,shock_2026,-0.10,-0.20,0.00,E04;E06;E08,negative,"Polarización y desconfianza contrarrestan la normalización electoral.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Political culture,Cultura política,annual_structural_rate,0.00,-0.05,0.05,E06;E08,neutral,"La baja confianza se estabiliza sin recuperación estructural.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Civil liberties,Libertades civiles,shock_2026,-0.08,-0.16,0.00,E01;E05,weak_negative,"Agenda de seguridad introduce tensión inicial sobre libertades.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
continuidad_hibrida,Continuidad híbrida y estabilización competitiva,Civil liberties,Libertades civiles,annual_structural_rate,-0.01,-0.05,0.03,E01;E05,near_neutral,"Controles parciales evitan una erosión acelerada.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Electoral process and pluralism,Proceso electoral y pluralismo,shock_2026,-0.08,-0.18,0.02,E01;E02;E03;E06,negative,"Conflicto de legitimidad reduce la calidad electoral sin eliminar la competencia.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Electoral process and pluralism,Proceso electoral y pluralismo,annual_structural_rate,-0.04,-0.08,0.00,E01;E02;E06,negative,"Erosión gradual de garantías y confianza electoral.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Functioning of government,Funcionamiento del gobierno,shock_2026,-0.20,-0.32,-0.08,E05;E06;E08;E09,negative,"Securitización y conflicto Ejecutivo-Congreso deterioran coordinación inicial.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Functioning of government,Funcionamiento del gobierno,annual_structural_rate,-0.13,-0.20,-0.06,E05;E06;E08,negative,"Persistencia de excepcionalidad y debilitamiento de controles reducen desempeño institucional.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Political participation,Participación política,shock_2026,-0.05,-0.14,0.04,E05;E07;E09,weak_negative,"Restricción y desencanto reducen parcialmente la participación.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Political participation,Participación política,annual_structural_rate,-0.07,-0.12,-0.02,E05;E07,negative,"Desmovilización y barreras acumulativas sostienen el descenso.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Political culture,Cultura política,shock_2026,-0.25,-0.40,-0.10,E04;E06;E08;E09,negative,"Polarización intensa y baja legitimidad agravan el punto de partida.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
deriva_restrictiva,Deriva restrictiva y securitización,Political culture,Cultura política,annual_structural_rate,-0.13,-0.21,-0.05,E04;E06;E08,negative,"Persistencia de confrontación deteriora gradualmente la cultura democrática.",Magdiel Torres Vanegas,2026-08-25,structured_analytical_judgment
