record_id,title,authors,year,doi,article_section,evidence_role,democracy_dimension,scenario_link,claim_supported,appraisal_tool,appraisal_rating,parameter_effect
R000001,Under Pressure: Explaining Backlash Against Civil Society in the Andean Community,Noah Anders Levine,2018,,Introducción y discusión,contexto de contracción del espacio cívico,libertades_civiles,restrictivo,La presión sobre la sociedad civil ayuda a interpretar riesgos de cierre del espacio cívico.,AACODS,moderada,none; bibliographic evidence does not modify model parameters automatically
R000005,A Lexical Index of Electoral Democracy,Svend‐Erik Skaaning; John Gerring; Henrikas Bartusevičius,2015,10.1177/0010414015581050,Métodos,fundamento de medición ordinal,medición_multidimensional,transversal,Las escalas ordinales exigen transparencia sobre reglas y límites inferenciales.,METHOD_RELEVANCE,alta,none; bibliographic evidence does not modify model parameters automatically
R000017,"An Ordinal, Concept-driven Approach to Measurement: The Lexical Scale",John Gerring; Daniel Pemstein; Svend‐Erik Skaaning,2018,10.1177/0049124118782531,Métodos y limitaciones,validez de escalas democráticas,medición_multidimensional,transversal,La construcción de escalas democráticas requiere coherencia conceptual y comparabilidad.,METHOD_RELEVANCE,alta,none; bibliographic evidence does not modify model parameters automatically
R000019,"Quality Assessment of the Academic Freedom Index: Strengths, Weaknesses, and How Best to Use It",Lars Lott; Janika Spannagel,2025,10.1017/s1537592724001968,Métodos y limitaciones,calidad y cobertura de índices,medición_multidimensional,transversal,"Los índices comparados deben declarar cobertura, agregación e incertidumbre.",MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000057,Populismo y retroceso democrático en América Latina,Alejandra Armesto,2025,10.22201/iis.rld.2025.00.10,Introducción y discusión,mecanismo populismo-retroceso,cultura_politica,restrictivo,El populismo puede articularse con procesos graduales de retroceso democrático.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000064,La militarización de la política democrática en América Latina y sus efectos sobre la calidad del régimen,Alexander Arciniegas-Carreño; Luis Antonio González-Tule; João Carlos Amoroso Botelho,2025,10.17141/iconos.83.2025.6607,Discusión,militarización y control civil,funcionamiento_gobierno,restrictivo,La militarización amplía riesgos para controles civiles y rendición de cuentas.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000066,El fortalecimiento de la calidad de la democracia en América Latina. Una propuesta a partir de la gobernanza democrática,Jose Manuel Ledezma Rosas; Enoc Francisco Morán Torres,2020,10.14409/redoeda.v7i2.9721,Introducción y discusión,gobernanza democrática,funcionamiento_gobierno,recuperacion,La gobernanza democrática depende de instituciones eficaces y responsables.,MMAT_2018,moderada,none; bibliographic evidence does not modify model parameters automatically
R000070,Perspectivas sobre desenvolvimento democrático e qualidade da democracia: Brasil e América Latina,Maria Celina D’Araujo; Guilherme Leite Ribeiro,2016,10.5216/sec.v18i2.42375,Introducción y discusión,enfoque multidimensional,medición_multidimensional,transversal,La calidad democrática debe interpretarse como un constructo multidimensional.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
R000093,Cultura política y construcción de ciudadanía: hacia una Dirección de Participación Electoral en el Gobierno del Estado de México,ERICK JOSUE PEREZ DIAZ,2025,10.36677/espaciospublicos.v26i64.24832,Discusión,cultura política y ciudadanía,cultura_politica,continuidad,La participación y cultura cívica condicionan la sostenibilidad democrática.,MMAT_2018,moderada,none; bibliographic evidence does not modify model parameters automatically
R000098,"Cuando la integridad electoral está en riesgo: democracia, fraude e instituciones en América Latina",Danillo Rafael Batista,2024,10.26851/rucp.33.10,Métodos y discusión,integridad electoral,proceso_electoral,transversal,La integridad electoral es una dimensión diferenciada de la calidad democrática.,MMAT_2018,alta,none; bibliographic evidence does not modify model parameters automatically
